date,totals
2014-07-01,4382
2014-07-01,37889
2014-07-01,21917
2014-07-01,14896
2014-07-01,59582
2014-07-01,1374
2014-07-01,19093
2014-07-01,4984
2014-07-01,34494
2014-07-01,94876
2014-07-01,19385
2014-07-01,1868
2014-07-01,28031
2014-07-01,31164
2014-07-01,13298
2014-07-01,19541
2014-07-01,4205
2014-08-01,45465
2014-08-01,7816
2014-08-01,26519
2014-08-01,15895
2014-08-01,119570
2014-08-01,32230
2014-08-01,16479
2014-08-01,3415
2014-08-01,47
2014-08-01,75868
2014-08-01,35344
2014-08-01,1130
2014-08-01,10295
2014-08-01,91721
2014-08-01,37077
2014-08-01,7923
2014-08-01,11796
2014-08-01,232853
2014-08-01,24409
2014-08-01,6313
2014-08-01,8265
2014-08-01,13949
2014-08-01,32189
2014-08-01,37674
2014-08-01,15732
2014-08-01,40886
2014-08-01,9986
2014-08-01,4763
2014-08-01,8780
2014-08-01,9688
2014-08-01,6828
2014-08-01,10816
2014-08-01,27139
2014-08-01,35184
2014-08-01,5239
2014-08-01,42044
2014-08-01,25875
2014-08-01,16665
2014-08-01,67743
2014-08-01,1617
2014-08-01,22184
2014-08-01,6261
2014-08-01,39800
2014-08-01,115497
2014-08-01,19335
2014-08-01,2280
2014-08-01,30501
2014-08-01,32674
2014-08-01,15799
2014-08-01,24467
2014-08-01,4637
2014-09-01,45081
2014-09-01,6625
2014-09-01,23538
2014-09-01,17053
2014-09-01,118856
2014-09-01,30504
2014-09-01,22160
2014-09-01,3289
2014-09-01,48
2014-09-01,77573
2014-09-01,35423
2014-09-01,1153
2014-09-01,11211
2014-09-01,117143
2014-09-01,34547
2014-09-01,8494
2014-09-01,12558
2014-09-01,80383
2014-09-01,31703
2014-09-01,7667
2014-09-01,8480
2014-09-01,12394
2014-09-01,37179
2014-09-01,41988
2014-09-01,20332
2014-09-01,39077
2014-09-01,10880
2014-09-01,5577
2014-09-01,8630
2014-09-01,9668
2014-09-01,6470
2014-09-01,10973
2014-09-01,28575
2014-09-01,35405
2014-09-01,5914
2014-09-01,42944
2014-09-01,25886
2014-09-01,19544
2014-09-01,71450
2014-09-01,1570
2014-09-01,20378
2014-09-01,7166
2014-09-01,38227
2014-09-01,114900
2014-09-01,17531
2014-09-01,2743
2014-09-01,31726
2014-09-01,35256
2014-09-01,16952
2014-09-01,27754
2014-09-01,5296
2014-10-01,50068
2014-10-01,9803
2014-10-01,25181
2014-10-01,23097
2014-10-01,128439
2014-10-01,35546
2014-10-01,24547
2014-10-01,3802
2014-10-01,52
2014-10-01,83962
2014-10-01,43186
2014-10-01,1330
2014-10-01,11973
2014-10-01,103053
2014-10-01,80707
2014-10-01,10795
2014-10-01,14601
2014-10-01,31756
2014-10-01,29220
2014-10-01,10133
2014-10-01,10073
2014-10-01,14369
2014-10-01,40169
2014-10-01,45025
2014-10-01,19086
2014-10-01,50021
2014-10-01,12833
2014-10-01,6735
2014-10-01,8873
2014-10-01,11633
2014-10-01,7435
2014-10-01,12641
2014-10-01,34659
2014-10-01,43204
2014-10-01,7836
2014-10-01,53277
2014-10-01,30881
2014-10-01,20667
2014-10-01,83119
2014-10-01,1889
2014-10-01,24311
2014-10-01,9445
2014-10-01,44933
2014-10-01,122547
2014-10-01,16476
2014-10-01,3101
2014-10-01,36419
2014-10-01,41682
2014-10-01,20922
2014-10-01,33262
2014-10-01,5421
2014-11-01,56324
2014-11-01,7851
2014-11-01,26203
2014-11-01,25577
2014-11-01,132469
2014-11-01,36523
2014-11-01,23451
2014-11-01,4764
2014-11-01,45
2014-11-01,87931
2014-11-01,44325
2014-11-01,1078
2014-11-01,10932
2014-11-01,104606
2014-11-01,136175
2014-11-01,10906
2014-11-01,18147
2014-11-01,84113
2014-11-01,33557
2014-11-01,7347
2014-11-01,12483
2014-11-01,13258
2014-11-01,39561
2014-11-01,38258
2014-11-01,24074
2014-11-01,60330
2014-11-01,10052
2014-11-01,7072
2014-11-01,8950
2014-11-01,10215
2014-11-01,7612
2014-11-01,12308
2014-11-01,33260
2014-11-01,45758
2014-11-01,6217
2014-11-01,64249
2014-11-01,37671
2014-11-01,22003
2014-11-01,87572
2014-11-01,1822
2014-11-01,26987
2014-11-01,8620
2014-11-01,55288
2014-11-01,138837
2014-11-01,19211
2014-11-01,2833
2014-11-01,43955
2014-11-01,44282
2014-11-01,24050
2014-11-01,31027
2014-11-01,5399
2014-12-01,75874
2014-12-01,9442
2014-12-01,33062
2014-12-01,29453
2014-12-01,164170
2014-12-01,47309
2014-12-01,27883
2014-12-01,5847
2014-12-01,53
2014-12-01,107882
2014-12-01,60222
2014-12-01,1389
2014-12-01,14948
2014-12-01,147220
2014-12-01,74495
2014-12-01,14335
2014-12-01,22119
2014-12-01,295697
2014-12-01,44644
2014-12-01,8990
2014-12-01,12462
2014-12-01,14332
2014-12-01,42291
2014-12-01,43152
