date,state,gtrend,totals,urban_pop_percent,rural_pop_percent,year,population,percent_in_poverty,Median income,Standard error,partisan_index_dem,partisan_index_rep,month,percent_of_unemployed_poulation
2013-11-01,Iowa,57.74647887323943,12076,64,36,2013,3093935,12.6,69840,2504,0.47973469231243715,0.5202653045122217,11,4.5
2013-11-01,Kansas,54.43037974683545,18670,71.4,28.6,2013,2894306,13.9,65550,1907,0.3907878854163275,0.6092121077438607,11,5
2013-11-01,Kentucky,60.75949367088608,208696,58.4,41.6,2013,4406906,18.8,53680,2386,0.42251425596454956,0.5774857494792507,11,7.7
2013-11-01,Louisiana,53.16455696202532,33765,73,27,2013,4626040,20,50450,3638,0.42128698563249184,0.5787130163604736,11,5.8
2013-11-01,Maine,55.696202531645575,8004,38.7,61.3,2013,1328543,14,63810,2487,0.4636900914080507,0.536309921563641,11,6.3
2013-11-01,Maryland,34.343434343434346,18413,87.2,12.8,2013,5925197,10.2,83090,5584,0.6401707402950397,0.35982926837684276,11,6.2
2013-11-01,Massachusetts,31.313131313131315,18506,92,8,2013,6715158,11.9,80160,4400,0.6252725649577769,0.374727420690005,11,6.4
2013-11-01,Michigan,45.45454545454546,39996,74.6,25.4,2013,9914802,17,62130,2838,0.566842757749861,0.433157230948374,11,8.4
2013-11-01,Minnesota,46.46464646464647,38292,73.3,26.7,2013,5414722,11.2,77550,2347,0.545767401485365,0.4542325927964967,11,4.8
2013-11-01,Mississippi,61.76470588235294,25301,51.2,48.8,2013,2989839,23.9,52010,2730,0.3458143462748377,0.6541856524745534,11,8.2
2013-11-01,Missouri,58.82352941176471,47444,70.5,29.5,2013,6042989,15.8,64060,4708,0.46137383240782837,0.5386261600395821,11,6.6
2013-11-01,Montana,69.11764705882354,10548,55.9,44.1,2013,1014158,16.1,56190,4140,0.5203027663251779,0.4796972353906651,11,5.1
2013-11-01,Nebraska,51.47058823529412,6868,73.1,26.9,2013,1855525,12.9,68470,2311,0.41015441999151153,0.5898455659031795,11,3.5
2013-11-01,Nevada,57.89473684210527,10503,94.2,5.8,2013,2790136,15.8,57760,3603,0.5442942470521849,0.4557057335343141,11,9.3
2013-11-01,New Hampshire,53.94736842105264,10397,60.3,39.7,2013,1323459,9,90810,4152,0.4831975161283938,0.5168024737148563,11,5
2013-11-01,New Jersey,28.947368421052634,10031,94.7,5.3,2013,8882190,11.4,78660,3893,0.5766851624041142,0.42331483352729093,11,7.6
2013-11-01,New Mexico,52.631578947368425,12642,77.4,22.6,2013,2085286,21.4,53640,3399,0.5626662842571468,0.4373337022287587,11,6.8
2013-11-01,New York,25.609756097560975,32643,91.9,8.1,2013,19570261,16,68550,2091,0.6467602930141044,0.3532397059532948,11,7.3
2013-11-01,North Carolina,48.78048780487805,50272,66.1,33.9,2013,9746170,17.8,52470,2620,0.48583171651383633,0.5141682814554603,11,6.5
2013-11-01,North Dakota,54.8780487804878,7692,59.9,40.1,2013,723393,11.6,67340,3645,0.45646686404846704,0.5435331403979632,11,2.8
2013-11-01,Ohio,45.12195121951219,61911,77.9,22.1,2013,11594163,15.9,59070,1765,0.5024644958674208,0.4975354948037561,11,7.1
2013-11-01,Oklahoma,65.71428571428572,35876,66.2,33.8,2013,3849733,16.7,55740,5201,0.337539612216696,0.6624603772327872,11,5
2013-11-01,Oregon,21.42857142857143,22895,81,19,2013,3892387,16.5,71690,2574,0.5700606409901484,0.4299393601172292,11,7.2
2013-11-01,Pennsylvania,47.142857142857146,88985,78.7,21.3,2013,12788956,13.7,68690,2045,0.5412938053560113,0.45870618420697157,11,6.7
2013-11-01,Rhode Island,37.142857142857146,1925,96,4,2013,1051165,14.7,73610,2718,0.6410377777331312,0.35896221543301277,11,9.3
2013-11-01,South Carolina,51.31578947368421,25922,66.3,33.7,2013,4774839,18.5,55700,3781,0.4049856715416847,0.5950143246738955,11,6.5
